network_name,price_past,lr,test_mse_loss,test_mae,test_mape
LSTM,15,0.00018769230769230769,1261714.5495421707,941.633883714391,0.05311343206088265
LSTM,15,0.00021307692307692306,2641039.5074933963,1409.1275662475732,0.07902184065310074
LSTM,15,0.00023846153846153844,3004721.794350172,1330.3175708036981,0.0755328074967758
LSTM,15,0.00026384615384615384,2595030.6200320153,1287.663910823626,0.07428859438960804
LSTM,15,0.0002892307692307692,2867658.2473549973,1333.293402194407,0.07802210896934651
LSTM,15,0.00031461538461538465,9729175.896057347,2868.5490395968677,0.15740691361728534
LSTM,15,0.00034,1461050.0240926254,970.2226792931415,0.05636731092790264
LSTM,15,0.0003653846153846154,1741628.9809103615,1041.8647342804938,0.06076639074122304
LSTM,15,0.0003907692307692308,3675413.079123439,1579.0850799451164,0.09123123881908905
LSTM,15,0.00041615384615384615,2327742.9942152966,1270.436281922043,0.07305224107527213
LSTM,15,0.00044153846153846153,5373660.155965898,1959.8504500121342,0.11236690231009187
LSTM,15,0.0004669230769230769,4771906.928832279,1971.44577890485,0.11034797832927262
LSTM,15,0.0004923076923076923,6093546.38630339,2111.101918356108,0.1205697485747588
LSTM,15,0.0005176923076923077,5675175.958355501,2171.779292791405,0.12110477457937908
LSTM,15,0.000543076923076923,3934317.383394412,1695.9690326430891,0.09680841900486156
LSTM,15,0.0005684615384615384,6104508.90494325,2186.7051492962214,0.1227372499608981
LSTM,15,0.0005938461538461538,5574867.297999739,2057.920783221793,0.11666546914539563
LSTM,15,0.0006192307692307693,4764335.843222633,1986.7459446987941,0.11078667140976396
LSTM,15,0.0006446153846153846,20654806.913978495,4388.794453720038,0.2374876302576834
LSTM,15,0.00067,10484424.208034648,2894.3643076906924,0.1611001160988315
LSTM,15,0.0006953846153846154,17121737.913381122,3997.871827921987,0.2167615110372842
LSTM,15,0.0007207692307692308,3258174.9509968637,1667.3134912926093,0.08950050810314136
LSTM,15,0.0007461538461538462,1712990.2285681283,1225.7627801929323,0.06608628091071883
LSTM,15,0.0007715384615384615,1921586.2731388141,1306.032795057217,0.06793335146685726
LSTM,15,0.0007969230769230769,25193443.631421745,4797.756491165434,0.2624751471490416
LSTM,15,0.0008223076923076923,15801122.698028674,3368.3373801756647,0.18938624553088645
LSTM,15,0.0008476923076923077,8374237.51842518,2792.5372196320563,0.1507336973649947
LSTM,15,0.000873076923076923,32523521.425328553,5414.23995494045,0.2970286522465652
LSTM,15,0.0008984615384615384,5765468.916853345,1891.1461743134894,0.10651117876804074
LSTM,15,0.0009238461538461538,3994596.703946386,1607.5315060997236,0.09252031119106384
LSTM,15,0.0009492307692307692,16776709.688060036,3293.9596196656585,0.19170961042214074
LSTM,15,0.0009746153846153845,1758129.5284778227,1173.432306834304,0.06222426871187193
LSTM,15,0.001,12129629.048760453,2916.311576524231,0.16549957907684104
RNN,15,1e-06,49221785.54002389,6757.378788409125,0.36782707637142537
